,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
0,287.0128479,432.712616,100.7960663,188.081192,430.1544189,196.3558807,56.64125061,740.505249,767.5477295,2439.921387,87.48613739,302.1888428,457.4557495,209.7041931,469.7795105,6.224834442,8.480135918,271.0527039,335.993988,151.1905518,608.487854,239.7233276,213.8619232,258.8026733,193.8939514,125.484581,274.4749451,186.8750763,265.4064941,8.798437119,964.362793,0.467624456,-87.95376587,66.50463867,220.9758301,-606.7802734,371.0960693,-939.9718018,-124.2642288,-1301.71167,361.7398987,608.7374268,520.6738892,399.0332336,290.9936218,284.7687988,216.356308,216.356308,944.9064331,820.6422119,549.5894775,-191.892746,319.6106262,-51.5091095,137.3867493,-219.9055023,28.01276398,-291.2324524,138.9219818,121.4159393,83.7231369,246.4621887,-121.5373077,-166.6863251,-308.412384
1,765.4025269,39.7306633,461.1713562,193.3017426,553.3057251,270.0821533,214.8277283,762.3805542,764.6428833,3061.80127,112.1845093,364.7543335,562.2128906,273.3480225,581.8153076,7.495904922,10.1832428,357.1156921,384.5495605,191.0223083,745.1132202,317.9356079,290.7461548,353.0732422,253.2937164,137.2958832,307.8738098,238.8646545,296.7008972,10.3887701,1290.678833,-232.6180267,120.4335251,300.7643433,232.0201569,-482.787384,418.7973633,-968.1853638,-76.81492615,-1465.552368,497.3669739,770.8947144,814.9654541,497.5466919,413.0983582,405.6024475,19.86533165,19.86533165,844.5128784,767.697937,410.5822449,-202.9745636,90.64011383,-57.77952576,196.1466522,-227.7750702,24.80050087,-375.7151184,177.5906067,156.92659,193.554184,283.0733032,-84.55265045,-142.2623596,-323.4172974
2,337.6535034,14.4367733,496.6820068,498.0152893,533.0497437,254.4575958,150.626236,211.0605164,231.1823273,2859.028564,92.55428314,287.0845337,419.3342896,186.9128723,412.3152466,6.423449993,7.567632198,304.374176,268.5922241,146.9638062,571.6258545,241.5558624,223.8492737,314.2032166,210.4201965,127.4543839,256.4969177,172.710907,247.9741364,8.161875725,1079.617432,-296.2340698,203.6797943,-204.9955597,246.4149933,-640.7087402,148.6286316,-895.0005493,-165.0424805,-1404.740112,509.739624,740.6671753,705.4592896,553.7543335,651.1787109,644.755249,7.21838665,7.21838665,712.3284302,547.2859497,242.9117584,405.289978,-423.0714417,-137.6505127,129.7515259,-1.664816141,406.9548035,-379.2063904,153.8433533,184.4516907,186.6210327,-150.4578857,125.6757431,83.94878387,-47.03516769
3,862.3961792,494.3707581,70.52542877,174.0426636,547.4057007,42.85657501,355.3749084,500.3146667,1074.340088,1825.460693,94.70615387,283.060791,478.0014343,243.3990936,481.3999634,6.201303959,8.249810219,331.5728455,328.6214905,140.7747345,618.8208008,288.2743225,231.725174,303.4206848,189.7874298,125.5420227,265.3685303,208.9513702,272.6585083,9.203807831,1037.347168,-26.59527588,-68.11087799,594.2184448,241.5824585,-267.0108948,578.1685181,-710.2983398,-34.71395493,-983.8789063,273.5805359,488.5379028,343.8400269,245.1387939,37.31937027,31.11806488,247.185379,247.185379,829.9609985,795.2470093,463.6741943,-472.3579407,374.2527161,5.956590652,227.2013245,-437.3937988,-34.9641571,-282.3177185,265.0879517,76.21936035,407.1699219,300.3327026,15.88893414,-34.59371948,-193.062439
4,725.6478271,645.116333,364.2191467,155.5040436,647.9586182,538.9743042,515.1711426,51.38676453,954.1241455,1928.955078,88.57234955,307.3304138,529.3447266,245.2960968,547.428833,7.484713554,9.232743263,315.5281372,321.8670654,157.2596283,751.0449829,298.1363525,244.3068848,280.8546753,223.7593079,145.7089386,323.4779663,219.2998047,292.1644592,9.665138245,1209.294067,-125.6028366,37.03048325,341.0162659,259.0287476,-374.6781311,408.3639526,-719.5324097,-184.490448,-1120.042236,400.5097961,617.8392334,181.4084167,372.5431519,225.6241455,218.1394348,322.5581665,322.5581665,817.2919922,632.8015137,317.2733765,127.7194977,231.3218079,-306.2431946,-57.39177322,-251.1043396,378.823822,-604.3795166,43.57906342,338.24646,550.4406128,-55.34585953,256.5301819,203.5473328,37.23035812
5,41.23167419,439.90802,385.9676514,3.102872372,425.6948547,554.0629883,428.7795715,602.5939331,708.7967529,2364.915039,93.30117035,326.9494324,438.0694275,220.0249634,507.3046265,6.178198338,7.981706619,281.0920105,304.2463684,138.1520538,607.2507935,270.352417,256.6963806,332.1011047,203.9440918,120.2350082,249.9786072,200.9298248,260.0552063,9.231168747,1120.97876,-125.1683044,31.86713219,7.011343479,-90.94797516,-562.4090576,242.470932,-833.6102295,-166.8682404,-1275.322266,441.7120361,672.1106567,408.2509766,452.0857239,386.493103,380.3149109,219.95401,219.95401,840.1773071,673.309021,392.217041,-9.601693153,218.1802826,-182.8558655,62.2479248,-104.3188782,94.71718597,-453.2082825,-27.51343155,269.8531799,133.8875122,155.2614136,-46.53213501,-95.07678223,-247.4619598
6,659.1376953,5.836936951,114.8428879,443.1568909,62.99672318,413.331604,293.3295288,841.7680054,1080.124878,2888.158447,109.4957199,345.8002625,530.9453735,255.3630066,584.5789185,6.962530136,9.245633125,334.5006409,375.6531067,179.2884064,751.053894,294.5076904,286.7037354,359.4542542,234.5217438,162.2630463,295.2151794,236.4088898,300.4773254,10.46640015,1139.777832,-14.99620438,-94.49951172,450.4838562,193.6576233,-454.545105,559.2286987,-988.6751099,3.18462491,-1353.506958,364.8318787,636.2249756,887.960022,380.8619995,161.114975,154.1524353,2.918468475,2.918468475,884.5513306,887.7359619,553.2353516,-479.8092346,193.0541382,163.5399017,300.7974548,-379.9402771,-99.86897278,-130.967804,-67.97108459,58.65679932,252.4654083,395.084137,-123.8826981,-180.9990845,-360.2915955
7,905.477478,183.2253265,631.7539673,207.3475952,422.714325,517.6987305,370.2227478,665.291748,848.8217163,1199.468994,91.62275696,317.7319946,456.2826538,235.8425446,514.4690552,6.855102062,8.563577652,316.3206482,295.0808716,152.3156281,635.6799316,250.3855438,211.4034119,269.750946,210.4154816,134.9797821,272.8695374,197.6247711,251.8940582,9.041483879,1112.8927,-280.1309509,188.5081787,582.2568359,43.08969879,90.64136505,173.8834534,-259.8718567,-105.7694473,-612.4488525,352.5770264,480.1525574,97.82608032,244.3100128,82.41797638,75.56287384,91.61266327,91.61266327,272.4878235,166.7183838,-149.6022644,-32.38838959,-203.4216461,-206.8352814,-2.037831545,-21.5678215,-10.82056713,-457.2208252,-34.5065155,271.7887878,202.8969727,283.6901245,-84.01338959,-131.7595367,-281.6381531
8,201.6606598,462.8367615,600.4959717,287.2792358,167.1828308,303.6821899,319.0635681,432.2384644,684.6472778,2658.335449,91.4878006,318.5609741,474.986908,226.2754517,489.7993164,6.660848141,8.925755501,300.8504639,327.9960327,167.8032837,620.6127319,273.2741394,249.5908966,337.4270325,235.8801117,121.1538315,259.315155,197.3580475,285.0667725,8.565198898,1115.831665,-94.79499817,3.30720067,-29.30059242,136.1662598,-679.2384644,331.3768921,-981.7878418,-172.4375458,-1426.894409,445.1065979,705.5062866,517.3696289,479.2308044,434.5380859,427.8772278,231.4183807,231.4183807,971.2806396,798.8430786,497.9925842,47.73202515,-267.1624756,114.8965912,274.530426,-163.5736237,211.3056488,-158.3775482,8.805294037,62.89658356,219.3497009,48.00952148,48.93402863,1.252323627,-148.4240265
9,562.081665,28.83698654,105.5019608,292.0462341,491.1899719,405.2902222,326.4688721,36.5815506,185.3693542,3257.623779,87.996315,265.2302246,447.6934509,221.9160919,460.2166138,5.684100151,7.761447906,284.8873291,292.7579651,149.1338196,629.1800537,271.4507751,207.2411804,288.4265442,206.5899811,127.4004669,258.8030701,186.1905823,279.1627808,7.391498089,1005.876465,-278.1267395,190.1304321,-17.30422592,301.2591248,-695.5292358,412.994812,-1050.57019,-92.65245819,-1573.714233,523.1439819,795.0494995,881.4686279,573.1334229,636.060791,630.376709,14.41849327,14.41849327,902.5441895,809.8917236,525.0043945,129.9763184,231.6318512,-175.5770264,46.21533585,-263.8609924,393.8373108,-447.0278015,44.16218185,242.2112122,421.138031,-135.034256,236.8777313,191.8940735,50.6871376
