,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,"	L17",L18,L19,L20,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
N1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.265,,,,199.996,,,,,,,,,,,,
N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.066,,,,,,962.265,,,,199.996,,,,,,,,,,,,
N3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1352.513,,,,,,,,,970.230,,,,199.996,,,,,,,,,,,,
N4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061.811,,,,199.996,,,,,,,,,,,,
N5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.996,,,,,,,,,,,,
N6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1375.718,,823.735,848.749,,,,,,929.453,,,,199.996,,,,,,,,,,,,
N7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1285.069,,,,,,,,,1043.552,,,,199.996,,,,,,,,,,,,
N8,,,,,,,,,,2961.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1401.714,,798.483,810.838,,,,,,901.947,,,,200.096,,,,,,,,,,,,
N9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1312.371,,,,,,,,,1012.831,,,,199.996,,,,,,,,,,,,
N10,,,632.457,,,,,,,,,,,,,,,,,,536.792,,,,,,,,,,,,,,,,,,,,,849.491,879.066,,,,,,962.265,,,,199.996,,,,,,,,,,,,
N11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1401.714,,798.483,810.838,,,,,,901.947,,,,200.096,,,,,,,,,,,,
N12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1420.845,,779.825,797.291,,,,,,887.932,,,,200.096,,,,,,,,,,,,
N13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1326.797,,,,,,,,,990.404,,,,199.996,,,,,,,,,,,,
N14,,,628.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.491,879.066,,,,,,962.265,,,,199.996,,,,,,,,,,,,
N15,,,628.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1365.344,,849.491,857.677,,,,,,952.609,,,,199.996,,,,,,,,,,,,
N16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1401.714,,798.483,816.845,,,,,,901.947,,,,200.096,,,,,,,,,,,,
